course_id,course_name,academy,template_correct,overview_clear,prerequisites_clear,outcomes_clear,curriculum_complete,hands_on_clear,tools_consistent,industry_workflow,business_use_cases,projects_clear,capstone_correct,career_clear,faq_complete,next_path_valid,seo_valid,schema_valid,mobile_valid,accessibility_valid,performance_valid,qa_status,issues_fixed,remaining_issues
"dm-mastery","AI Digital Marketing Master","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"dm-professional","AI Digital Marketing Professional","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"perf-marketing-pro","Performance Marketing Professional","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"digital-marketing-pro","Digital Marketing Professional","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"google-ads","Google Ads","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"meta-ads","Meta Ads (Facebook & Instagram)","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"seo-geo","SEO & GEO","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"social-media-marketing","Social Media Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"content-marketing","Content Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"email-marketing","Email Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"google-analytics-ga4","Google Analytics (GA4)","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"google-search-console","Google Search Console","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"local-seo","Local SEO","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"youtube-marketing","YouTube Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-mastery","AI Mastery Program","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-productivity","AI Productivity Professional","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-for-business-pro","AI for Business Professional","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"prompt-engineering","Prompt Engineering","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-automation-n8n","AI Automation with n8n","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-agents-fundamentals","AI Agents Fundamentals","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"chatgpt-mastery","ChatGPT Mastery","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"gemini-mastery","Gemini Mastery","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"claude-productivity","Claude for Productivity","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-research-tools","AI Research Tools","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"creative-design","Creative Design Master","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"graphic-design-pro","Graphic Design Professional","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"uiux-design-pro","UI/UX Design Professional","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"adobe-photoshop","Adobe Photoshop","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"adobe-illustrator","Adobe Illustrator","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"canva-pro","Canva Professional","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"figma-ui-design","Figma UI Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"brand-identity-design","Brand Identity Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"packaging-design","Packaging Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"logo-design","Logo Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"fullstack-foundation","Full Stack Programming Foundation","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"python-developer","Python Developer Professional","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-web-dev-pro","AI Web Development Professional","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"html-css","HTML & CSS","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"javascript-cert","JavaScript","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"react-cert","React","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"node-js","Node.js","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"sql-basics","SQL Basics","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"git-github","Git & GitHub","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
