course_id,course_name,academy,market_relevance,industry_demand,job_relevance,freelance_relevance,business_relevance,ai_impact,core_tools,supporting_tools,emerging_tools,tools_to_review,stable_skills,evolving_skills,fast_changing_skills,business_use_cases,job_roles,portfolio_expectations,keep_topics,update_topics,add_topics,remove_or_review_topics,topics_to_deepen,preliminary_course_depth,future_durability,modernization_priority,research_notes,source_references
"dm-mastery","AI Digital Marketing Master","Digital Marketing Academy","CRITICAL (Highest Commercial Demand)","CRITICAL","HIGH","HIGH","HIGH","AI-TRANSFORMING","Google Ads, Meta Ads Manager, GA4, Google Search Console, SEMrush, HubSpot, n8n, ChatGPT, Claude","Canva, Looker Studio, Mailchimp, Shopify, WordPress","Perplexity Pages, Make.com, Midjourney v6 for Ad Creatives, Cursor for Landing Page Tweaks","Universal Analytics workflows, Manual keyword stuffing tools, Traditional standalone SMS blast tools","Direct response copywriting, consumer psychology, unit economics, analytics interpretation.","Ad network algorithmic bidding, social media algorithms, SEO ranking factors.","Generative search interfaces (SearchGPT, AI Overviews), creative generative AI tools.","Direct-to-Consumer (D2C) e-commerce scaling, B2B SaaS lead generation, local clinic/retail acquisition, and full-service digital agency client delivery.","Entry: Digital Marketing Executive, SEO Executive, PPC Associate | Mid: Performance Marketing Specialist, Digital Growth Lead | Adv: Head of Growth, Chief Marketing Officer (CMO), Digital Agency Director | Freelance: Freelance Digital Strategist, Performance Marketing Consultant","Live campaign audit report, end-to-end omnichannel growth playbook, full CAPI tracking implementation, and documented live ad spend case study with ROAS proof.","PPC bidding fundamentals, SEO technical architecture, Meta campaign structures.","Modernize traditional keyword SEO into GEO (Generative Engine Optimization); update Google Ads to Performance Max best practices.","AI Agent marketing automations, n8n webhook pipelines, TikTok/Reels algorithm dynamics, Conversion API (CAPI) server-side tracking.","Outdated organic backlink directory submissions, manual reporting spreadsheets.","Paid search economics, ROAS calculation, server-side attribution, and client pitching.","MASTER / FLAGSHIP","EVOLVING","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"dm-professional","AI Digital Marketing Professional","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","Google Ads, Meta Ads Manager, GA4, SEMrush","Canva, ChatGPT, Looker Studio","n8n, Claude, Midjourney","Manual Excel ad tracking","Funnel architecture, target audience profiling, metric calculation.","Creative format iteration, conversion rate optimization (CRO).","Platform ad UI updates, Advantage+ automated creative settings.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 comprehensive campaign case studies demonstrating lead generation, e-commerce sales, and retargeting with GA4 analytics.","Paid search mechanics, ad copy rules, audience targeting.","Integrate Meta Advantage+ and Google PMax automated campaign setups.","AI creative generation, landing page conversion optimization, server-side tracking.","Isolated keyword research spreadsheets without intent mapping.","Creative testing frameworks and ROAS analysis.","PROFESSIONAL","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"perf-marketing-pro","Performance Marketing Professional","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","Google Ads, Meta Ads Manager, GA4, SEMrush","Canva, ChatGPT, Looker Studio","n8n, Claude, Midjourney","Manual Excel ad tracking","Funnel architecture, target audience profiling, metric calculation.","Creative format iteration, conversion rate optimization (CRO).","Platform ad UI updates, Advantage+ automated creative settings.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 comprehensive campaign case studies demonstrating lead generation, e-commerce sales, and retargeting with GA4 analytics.","Paid search mechanics, ad copy rules, audience targeting.","Integrate Meta Advantage+ and Google PMax automated campaign setups.","AI creative generation, landing page conversion optimization, server-side tracking.","Isolated keyword research spreadsheets without intent mapping.","Creative testing frameworks and ROAS analysis.","PROFESSIONAL","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"digital-marketing-pro","Digital Marketing Professional","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","Google Ads, Meta Ads Manager, GA4, SEMrush","Canva, ChatGPT, Looker Studio","n8n, Claude, Midjourney","Manual Excel ad tracking","Funnel architecture, target audience profiling, metric calculation.","Creative format iteration, conversion rate optimization (CRO).","Platform ad UI updates, Advantage+ automated creative settings.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 comprehensive campaign case studies demonstrating lead generation, e-commerce sales, and retargeting with GA4 analytics.","Paid search mechanics, ad copy rules, audience targeting.","Integrate Meta Advantage+ and Google PMax automated campaign setups.","AI creative generation, landing page conversion optimization, server-side tracking.","Isolated keyword research spreadsheets without intent mapping.","Creative testing frameworks and ROAS analysis.","PROFESSIONAL","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"google-ads","Google Ads","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Google, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"meta-ads","Meta Ads (Facebook & Instagram)","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Meta, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"seo-geo","SEO & GEO","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","SEO, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"social-media-marketing","Social Media Marketing","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Social, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"content-marketing","Content Marketing","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","Content, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"email-marketing","Email Marketing","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Email, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
