course_id,course_name,academy,content_complete,template_correct,positioning_clear,curriculum_consistent,tools_consistent,projects_consistent,career_consistent,learning_path_valid,faq_valid,seo_valid,geo_valid,schema_valid,mobile_valid,desktop_valid,accessibility_valid,performance_valid,qa_status
dm-mastery,AI Digital Marketing Master,Digital Marketing Academy,YES (100% Sections Present),YES (Template A (Master Career)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (3 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
dm-professional,AI Digital Marketing Professional,Digital Marketing Academy,YES (100% Sections Present),YES (Template B (Professional)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
perf-marketing-pro,Performance Marketing Professional,Digital Marketing Academy,YES (100% Sections Present),YES (Template B (Specialization)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
digital-marketing-pro,Digital Marketing Professional,Digital Marketing Academy,YES (100% Sections Present),YES (Template C (Modular Merge)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
google-ads,Google Ads,Digital Marketing Academy,YES (100% Sections Present),YES (Template C (Micro / Skill)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
meta-ads,Meta Ads (Facebook & Instagram),Digital Marketing Academy,YES (100% Sections Present),YES (Template C (Micro / Skill)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
seo-geo,SEO & GEO,Digital Marketing Academy,YES (100% Sections Present),YES (Template B (Specialization)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
social-media-marketing,Social Media Marketing,Digital Marketing Academy,YES (100% Sections Present),YES (Template C (Micro / Skill)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
content-marketing,Content Marketing,Digital Marketing Academy,YES (100% Sections Present),YES (Template B (Industry-Aligned)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
email-marketing,Email Marketing,Digital Marketing Academy,YES (100% Sections Present),YES (Template C (Micro / Skill)),YES (Clear Target & Differentiator),YES (6 Modules Loaded),YES (Core Toolchain Aligned),YES (2 Projects Aligned),YES (Support Boundaries Verified),YES (Target Path Active),YES (3 Verified FAQs),YES (Optimized Title & Meta),YES (Fact Density & Boundaries),YES (Valid @graph JSON-LD),YES (Zero Overflow),YES (Responsive Grid & Hierarchy),YES (ARIA & Semantic Tags),YES (Instant Above-the-fold),PASS
