course_id,course_name,academy,overview_specific,why_now_specific,audience_specific,prerequisites_specific,outcomes_specific,modules_specific,lessons_specific,tools_specific,hands_on_specific,industry_workflow_specific,business_use_cases_specific,assignments_specific,projects_specific,capstone_specific,ai_integration_specific,career_specific,freelance_specific,faq_specific,next_path_specific,generic_content_detected,content_status
3d-viz-pro,"3D Visualisation Professional","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
3ds-max-cert,"3ds Max","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
adobe-illustrator,"Adobe Illustrator","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
adobe-photoshop,"Adobe Photoshop","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
adobe-premiere-pro,"Adobe Premiere Pro Fundamentals","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
after-effects,"After Effects Specialization","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
agency-building,"Agency Building","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-agents-fundamentals,"AI Agents Fundamentals","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-automation-n8n,"AI Automation with n8n","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-for-business-pro,"AI for Business Professional","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-for-kids,"AI for Kids","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-mastery,"AI Mastery Program","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
