course_number,course_id,course_name,academy,current_type,recommended_type,course_role,parent_program,entry_level,prerequisites,recommended_next_course,learning_path,career_endpoint,primary_career_roles,secondary_career_roles,recommended_depth,recommended_duration_range,project_depth,overlap_risk,overlap_with,value_as_standalone,recommended_action,dependency_notes,architecture_notes
1,"dm-mastery","AI Digital Marketing Master","Digital Marketing Academy","Career Program","MASTER","Career/Monetization","","BEGINNER+","Basic computer and internet literacy","perf-marketing-pro","Digital Marketing Path","JOB / FREELANCE / AGENCY","Digital Marketing Specialist, Growth Lead, Performance Marketer","Freelance Marketer, Agency Owner","MASTER","6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","dm-professional, digital-marketing-pro, perf-marketing-pro","CLEAR","MODERNIZE","Flagship entry for students seeking comprehensive employment in marketing.","Flagship Career Program. Modernize into modern Growth Marketing & GEO."
2,"dm-professional","AI Digital Marketing Professional","Digital Marketing Academy","Professional Program","PROFESSIONAL","Professional Skill","dm-mastery","BEGINNER","None","perf-marketing-pro","Digital Marketing Path","JOB / FREELANCE","Digital Marketing Executive, SEO/PPC Specialist","Content Strategist, Social Media Manager","PROFESSIONAL","3-4 Months","PORTFOLIO","HIGH","digital-marketing-pro, dm-mastery","CLEAR","MODERNIZE","Foundation for paid acquisition and organic search.","Keep as the primary 3-4 month professional standalone track."
3,"perf-marketing-pro","Performance Marketing Professional","Digital Marketing Academy","Professional Program","SPECIALIZATION","Advanced Skill","dm-mastery","INTERMEDIATE","dm-professional OR google-ads + meta-ads","agency-building","Digital Marketing Path","JOB / SPECIALIST","Performance Marketing Specialist, Media Buyer, Growth Hacker","PPC Consultant, E-Commerce Growth Lead","ADVANCED SPECIALIZATION","2-3 Months","PORTFOLIO","MEDIUM","google-ads, meta-ads","CLEAR","SPECIALIZATION","Advanced metrics, ROAS scaling, server-side CAPI tracking.","Position as high-value post-foundation specialization."
4,"digital-marketing-pro","Digital Marketing Professional","Digital Marketing Academy","Professional Program","MERGE","Professional Skill","dm-professional","BEGINNER","None","dm-professional","Digital Marketing Path","JOB","Digital Marketing Executive","Marketing Associate","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","dm-professional (near 100% duplicate)","WEAK","MERGE LATER","Direct duplicate of dm-professional with confusing naming collision.","Consolidate into single dm-professional track."
5,"google-ads","Google Ads","Digital Marketing Academy","Certification Course","MICRO","Core Skill","perf-marketing-pro","BEGINNER","None","meta-ads","Digital Marketing Path","JOB / FREELANCE","Google Ads Specialist, Search Marketer","PPC Freelancer","SHORT","1-2 Months","PRACTICAL","MEDIUM","perf-marketing-pro","CLEAR","KEEP","PMax, Search, Display, YouTube ads.","Essential paid search certification."
6,"meta-ads","Meta Ads (Facebook & Instagram)","Digital Marketing Academy","Certification Course","MICRO","Core Skill","perf-marketing-pro","BEGINNER","None","google-analytics-ga4","Digital Marketing Path","JOB / FREELANCE","Meta Media Buyer, Paid Social Specialist","Instagram Growth Consultant","SHORT","1-2 Months","PRACTICAL","MEDIUM","perf-marketing-pro","CLEAR","KEEP","Advantage+ creative, audience targeting, conversion API.","Essential paid social certification."
7,"seo-geo","SEO & GEO","Digital Marketing Academy","Certification Course","SPECIALIZATION","Specialization","dm-mastery","BEGINNER+","Basic website and content concepts","content-marketing","Digital Marketing Path","JOB / SPECIALIST","SEO Specialist, GEO Strategist, Organic Growth Lead","Technical Content Manager","SHORT","2 Months","PORTFOLIO","MEDIUM","local-seo, google-search-console","CLEAR","MODERNIZE","Subsumes technical SEO, entity search, and Generative Engine Optimization.","High-growth search specialization for modern AI Overviews."
8,"social-media-marketing","Social Media Marketing","Digital Marketing Academy","Certification Course","MICRO","Core Skill","dm-professional","BEGINNER","None","meta-ads","Digital Marketing Path","JOB / FREELANCE","Social Media Specialist, Community Manager","Content Creator","SHORT","1 Month","PRACTICAL","MEDIUM","creator academy courses","CLEAR","KEEP","Organic social distribution and brand storytelling.","Solid entry level organic marketing course."
9,"content-marketing","Content Marketing","Digital Marketing Academy","Certification Course","REPOSITION","Core Skill","dm-mastery","BEGINNER+","Basic writing and marketing sense","seo-geo","Digital Marketing Path","JOB / FREELANCE","Inbound Marketer, Content Strategist","B2B Copywriter","SHORT","1 Month","PRACTICAL","MEDIUM","copywriting, creator academy","CLEAR","REPOSITION","Reposition from simple blog writing to Inbound Demand Generation & AI Content Strategy.","Reposition as AI-Driven Content & Inbound Strategy."
10,"email-marketing","Email Marketing","Digital Marketing Academy","Certification Course","MICRO","Specialization","dm-mastery","BEGINNER+","Basic marketing funnel understanding","ai-automation-n8n","Digital Marketing Path","JOB / SPECIALIST","Email Marketing Specialist, Retention Specialist","CRM Associate","SHORT","1 Month","PRACTICAL","LOW","None","CLEAR","KEEP","Klaviyo, Mailchimp, segmentation, automated flows.","Valuable e-commerce and retention marketing skill."
11,"google-analytics-ga4","Google Analytics (GA4)","Digital Marketing Academy","Certification Course","MICRO","Supporting Skill","dm-mastery","BEGINNER+","Basic marketing knowledge","perf-marketing-pro","Digital Marketing Path","JOB / SPECIALIST","Marketing Analytics Specialist, Data Analyst","CRO Specialist","SHORT","1 Month","PRACTICAL","LOW","dm-mastery tracking phase","CLEAR","KEEP","Standard measurement foundation for web and app.","Universal measurement course usable across multiple academies."
12,"google-search-console","Google Search Console","Digital Marketing Academy","Certification Course","MODULE","Supporting Skill","seo-geo","BEGINNER","None","seo-geo","Digital Marketing Path","FOUNDATIONAL","SEO Assistant","Webmaster","MICRO","1-2 Weeks","EXERCISE","HIGH","seo-geo","WEAK","MODULE","Single tool interface; naturally lives inside technical SEO.","Convert to embedded module inside SEO & GEO."
13,"local-seo","Local SEO","Digital Marketing Academy","Certification Course","MODULE","Specialization","seo-geo","BEGINNER","Basic SEO principles","seo-geo","Digital Marketing Path","FREELANCE","Local SEO Consultant","Small Business Marketer","MICRO","2-3 Weeks","PRACTICAL","HIGH","seo-geo","PARTIAL","MODULE","Google Business Profile, local citations, map packs.","Convert to specialized module inside SEO & GEO."
14,"youtube-marketing","YouTube Marketing","Digital Marketing Academy","Certification Course","MERGE","Specialization","youtube-mastery","BEGINNER","None","youtube-mastery","Digital Marketing Path","CREATOR / SPECIALIST","YouTube Channel Manager","Video Marketer","SHORT","1 Month","PRACTICAL","HIGH","youtube-mastery & youtube-seo (Creator Academy)","WEAK","MERGE LATER","Cross-academy cannibalization with Creator Academy YouTube courses.","Merge into Creator Academy or link as shared elective."
15,"ai-mastery","AI Mastery Program","AI Academy","Career Program","MASTER","Career/Monetization","","INTERMEDIATE","Basic Python OR strong logic/systems understanding","ai-agents-fundamentals","AI & Machine Intelligence Path","JOB / SPECIALIST","AI Solutions Engineer, GenAI Architect","AI Consultant, Automation Lead","MASTER","6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes standalone prompting and agent courses","CLEAR","MODERNIZE","Flagship technical AI career track.","Anchor program for AI Solutions Engineering & Agentic systems."
16,"ai-productivity","AI Productivity Professional","AI Academy","Professional Program","PROFESSIONAL","Professional Skill","ai-mastery","BEGINNER","None","ai-for-business-pro","AI & Machine Intelligence Path","JOB","AI-Augmented Professional, Knowledge Worker","Executive Assistant, Business Associate","PROFESSIONAL","2-3 Months","PORTFOLIO","MEDIUM","chatgpt-mastery, office productivity","CLEAR","MODERNIZE","Comprehensive practical AI tools for non-coders.","Ideal for office professionals wanting multi-LLM workflows."
