course_id,course_name,academy,course_type,level,duration,module_count,lesson_count,tool_count,assignment_count,project_count,capstone,ai_integration,industry_workflow,business_use_cases,career_paths,freelance_path,content_depth,future_review_status
"dm-mastery","AI Digital Marketing Master","Digital Marketing Academy","MASTER","BEGINNER+","6 Months",6,24,14,6,3,"Mandatory Enterprise Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Digital Marketing Specialist ->  Growth Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","FAST-CHANGING"
"dm-professional","AI Digital Marketing Professional","Digital Marketing Academy","PROFESSIONAL","BEGINNER","3-4 Months",4,16,7,4,2,"Recommended Domain Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Digital Marketing Executive ->  SEO/PPC Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","FAST-CHANGING"
"perf-marketing-pro","Performance Marketing Professional","Digital Marketing Academy","SPECIALIZATION","INTERMEDIATE","2-3 Months",4,12,7,4,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Performance Marketing Specialist ->  Media Buyer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","FAST-CHANGING"
"digital-marketing-pro","Digital Marketing Professional","Digital Marketing Academy","MERGE","BEGINNER","3 Months",1,1,7,1,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Digital Marketing Executive -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"google-ads","Google Ads","Digital Marketing Academy","MICRO","BEGINNER","1-2 Months",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Google Ads Specialist ->  Search Marketer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"meta-ads","Meta Ads (Facebook & Instagram)","Digital Marketing Academy","MICRO","BEGINNER","1-2 Months",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Meta Media Buyer ->  Paid Social Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"seo-geo","SEO & GEO","Digital Marketing Academy","SPECIALIZATION","BEGINNER+","2 Months",4,12,4,4,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","SEO Specialist ->  GEO Strategist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","FAST-CHANGING"
"social-media-marketing","Social Media Marketing","Digital Marketing Academy","MICRO","BEGINNER","1 Month",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Social Media Specialist ->  Community Manager","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"content-marketing","Content Marketing","Digital Marketing Academy","REPOSITION","BEGINNER+","1 Month",3,9,4,3,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Inbound Marketer ->  Content Strategist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"email-marketing","Email Marketing","Digital Marketing Academy","MICRO","BEGINNER+","1 Month",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Email Marketing Specialist ->  Retention Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
