course_number,course_id,course_name,slug,academy,academy_id,current_type,status,duration,duration_months,level,price_inr,original_price_inr,module_count,total_lessons,project_count,ai_integration,ai_impact_role,tool_depth,business_use_cases,career_clarity,portfolio_value,overlap_risk,modernization_priority,featured
1,"dm-mastery","AI Digital Marketing Master","ai-digital-marketing-master","Digital Marketing Academy","digital-marketing","Career Program","active","6 Months","6","Advanced",31499,89999,6,104,20,"integrates AI into the workflow","AI-transforming","STRONG","ADEQUATE","STRONG","STRONG","HIGH","P0",true
2,"dm-professional","AI Digital Marketing Professional","ai-digital-marketing-professional","Digital Marketing Academy","digital-marketing","Professional Program","active","4 Months","4","Beginner",17499,49999,5,50,10,"integrates AI into the workflow","AI-transforming","STRONG","WEAK","STRONG","STRONG","HIGH","P0",true
3,"perf-marketing-pro","Performance Marketing Professional","performance-marketing-professional","Digital Marketing Academy","digital-marketing","Professional Program","active","3 Months","3","Intermediate",12999,34999,4,30,8,"integrates AI into the workflow","AI-assisted","STRONG","WEAK","STRONG","ADEQUATE","HIGH","P0",false
4,"digital-marketing-pro","Digital Marketing Professional","digital-marketing-professional","Digital Marketing Academy","digital-marketing","Professional Program","active","3 Months","3","Beginner",11999,29999,4,26,6,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P1",false
5,"google-ads","Google Ads","google-ads","Digital Marketing Academy","digital-marketing","Certification Course","active","2 Months","2","Beginner",6999,19999,4,28,4,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
6,"meta-ads","Meta Ads (Facebook & Instagram)","meta-ads-facebook-instagram","Digital Marketing Academy","digital-marketing","Certification Course","active","2 Months","2","Beginner",6999,19999,4,28,4,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
7,"seo-geo","SEO & GEO","seo-geo-ai-search-optimisation","Digital Marketing Academy","digital-marketing","Certification Course","active","2 Months","2","Intermediate",6999,19999,3,26,5,"integrates AI into the workflow","AI-transforming","ADEQUATE","WEAK","WEAK","ADEQUATE","HIGH","P0",false
8,"social-media-marketing","Social Media Marketing","social-media-marketing","Digital Marketing Academy","digital-marketing","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,3,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
9,"content-marketing","Content Marketing","content-marketing","Digital Marketing Academy","digital-marketing","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,3,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
10,"email-marketing","Email Marketing","email-marketing","Digital Marketing Academy","digital-marketing","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
11,"google-analytics-ga4","Google Analytics (GA4)","google-analytics-ga4","Digital Marketing Academy","digital-marketing","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,12,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
12,"google-search-console","Google Search Console","google-search-console","Digital Marketing Academy","digital-marketing","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
13,"local-seo","Local SEO","local-seo","Digital Marketing Academy","digital-marketing","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
14,"youtube-marketing","YouTube Marketing","youtube-marketing","Digital Marketing Academy","digital-marketing","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","HIGH","P3",false
15,"ai-mastery","AI Mastery Program","ai-mastery-program","AI Academy","ai","Career Program","active","6 Months","6","Beginner",27999,79999,6,76,20,"teaches AI","AI-critical","STRONG","ADEQUATE","STRONG","STRONG","MEDIUM","P0",true
16,"ai-productivity","AI Productivity Professional","ai-productivity-professional","AI Academy","ai","Professional Program","active","3 Months","3","Beginner",13999,39999,3,26,10,"teaches AI","AI-transforming","STRONG","WEAK","STRONG","STRONG","MEDIUM","P0",false
